"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Basiswert 3","Basiswert 4","Basiswert 5","Name Basiswert 1","Name Basiswert 2","Name Basiswert 3","Name Basiswert 4","Name Basiswert 5"
"Überalterungsquotient","Ausländer_innen","2015","16 Ramersdorf - Perlach","131.1","4297","3278","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2015","17 Obergiesing - Fasangarten","141.6","1737","1227","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2015","18 Untergiesing - Harlaching","157.1","1428","909","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2015","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","116","2431","2095","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2015","20 Hadern","151.4","1264","835","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2015","21 Pasing - Obermenzing","122.1","1634","1338","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2015","22 Aubing - Lochhausen - Langwied","105.9","955","902","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2015","23 Allach - Untermenzing","132.4","724","547","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2015","24 Feldmoching - Hasenbergl","123.5","1905","1542","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2015","25 Laim","160.8","1605","998","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2014","Stadt München","141.3","39746","28134","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2014","01 Altstadt - Lehel","223.8","602","269","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2014","02 Ludwigsvorstadt - Isarvorstadt","178.3","1571","881","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2014","03 Maxvorstadt","189","1121","593","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2014","04 Schwabing - West","197.3","1578","800","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2014","05 Au - Haidhausen","220.5","1691","767","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2014","06 Sendling","176.7","1212","686","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2014","07 Sendling - Westpark","137.4","1654","1204","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2014","08 Schwanthalerhöhe","233.6","1313","562","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2014","09 Neuhausen - Nymphenburg","157.6","2337","1483","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2014","10 Moosach","137.2","1591","1160","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2014","11 Milbertshofen - Am Hart","134.3","2713","2020","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2014","12 Schwabing - Freimann","109.7","1349","1230","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2014","13 Bogenhausen","127.4","1987","1560","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2014","14 Berg am Laim","125.7","1249","994","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2014","15 Trudering - Riem","78.5","1048","1335","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
